Handle,REF,Nombre,Categoria,Descripción,Vendido por peso,Opción 1 nombre,Opción 1 valor,Opción 2 nombre,Opción 2 valor,Opción 3 nombre,Opción 3 valor,Precio por defecto,Coste,Codigo de barras,REF del componente,Cantidad del componente,Seguir el Inventario,Disponibles para la venta [Pico De Gallo],Precio [Pico De Gallo],En inventario [Pico De Gallo],Existencias bajas [Pico De Gallo],"modificador - ""Arroz/Rice""","modificador - ""Frijoles/Beans""","modificador - ""Vegetales+/Vegetables+""","modificador - ""Extras""","modificador - ""Salsas""","modificador - ""Add-On's""","modificador - ""Proteina Extra/Proteins""","modificador - ""Modificadores de Birria/Modifiers""","modificador - ""Make Your Quesadilla Better""","modificador - ""Party Packs' Options""","modificador - ""Fajitas by the Pounds""","modificador - ""Termino de la Carne""","modificador - ""Chips n Guac""","modificador - ""Chips n Queso""","modificador - ""Guac""","modificador - ""Queso""","modificador - ""Extra Salsa""","modificador - ""Taco's Extras""","impuesto - ""Desechables"" (3%)","impuesto - ""IVA"" (13%)"
coca-cola-zero,10055,Coca Cola Zero,Drinks,,N,,,,,,,1.99,0.00,,,,N,Y,1.99,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
crispy-tacos,10011,Crispy Tacos,Tacos,<p>2 Tacos fritos</p>,N,,,,,,,3.98,0.00,,,,N,N,3.98,,,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N
cuban-taco,10028,Cuban Taco,Tacos,"<p>Taco individual. Tortilla de harina servida con arroz cilantro lim&oacute;n, frijoles negros, beef barbacoa, tomate, cebolla, cilantro, crema, y platano frito. No creeras el sabor de esta combinaci&oacute;n.</p>",N,,,,,,,4.49,0.00,,,,N,Y,4.49,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
extra-carnes,10052,Extra Carnes,More,<p>4oz de carne de tu preferencia</p>,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N
fajitas-by-the-pound,10045,Fajitas by the Pound,Party Packs,<p>Solo fajitas. Este articulo no trae ningun acompa&ntilde;amiento extra.</p>,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N
grilled-chicken-1,10006,Grilled Chicken Bowl,Bowls,<p>Construye tu propio bowl. Selecciona entre nuestros ingredientes frescos todos los d&iacute;as. No olvides el Guac!</p>,N,,,,,,,7.99,0.00,,,,N,Y,7.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
grilled-chicken-burrito,10001,Grilled Chicken Burrito,Burritos,<p>Construye tu propio burrito. Selecciona entre nuestros ingredientes frescos todos los d&iacute;as. No olvides el Guac!</p>,N,,,,,,,7.99,0.00,,,,N,Y,7.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
grilled-chicken-burrito-1,10010,Grilled Chicken Burrito,JUEVES,<p>Jueves de Grilled Chicken Burrito! Construye tu propio burrito con tu selecci&oacute;n de ingredientes. Algunos ingredientes tienen costo extra.&nbsp;&nbsp;</p>,N,,,,,,,5.00,0.00,,,,N,N,5.00,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
grilled-chicken-nachos,10021,Grilled Chicken Nachos,Nachos,<p>Construye tu propio burrito. Selecciona entre nuestros ingredientes frescos todos los dias. No olvides el Guac!</p>,N,,,,,,,9.48,0.00,,,,N,Y,9.48,,,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
grilled-chicken-quesadilla,10038,Grilled Chicken Quesadilla,Quesadillas,<p>Tortilla de harina rellena con Queso Monterrey Jack derretido y Pollo a la parrilla. Servido con guacamole y crema &aacute;cida.</p>,N,,,,,,,8.29,0.00,,,,N,Y,8.29,,,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,Y,N
grilled-chicken-taco,10033,Grilled Chicken Taco,Tacos,<p>Taco individual. Construye tu propio Taco. Elige entre todos nuestros ingredientes y crea tu propio taco.</p>,N,,,,,,,3.49,0.00,,,,N,Y,3.49,,,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
guac,10048,Guac,Sides,<p>Hecho fresco todo los d&iacute;as</p>,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N
kolashanpan,10058,Kolashanpan,Drinks,,N,,,,,,,1.99,0.00,,,,N,Y,1.99,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
lengua-barbacoa-1,10018,Lengua Barbacoa Bowl,Bowls,<p>Construye tu propio bowl. Selecciona entre nuestros ingredientes frescos todos los d&iacute;as. No olvides el Guac!</p>,N,,,,,,,9.99,0.00,,,,N,Y,9.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
lengua-barbacoa,10014,Lengua Barbacoa Burrito,Burritos,<p>Construye tu propio burrito. Selecciona entre nuestros ingredientes frescos todos los d&iacute;as. No olvides el Guac!</p>,N,,,,,,,9.99,0.00,,,,N,Y,9.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
lengua-barbacoa-taco,10027,Lengua Barbacoa Taco,Tacos,"<p>Taco individual. Mezcla de Lengua y carnes de res hecha a presi&oacute;n lenta con hierbas y chiles importados y sal. Hecha en taco de tortilla de ma&iacute;z, queso monterrey jack, cilantro y cebolla. Servido con salsa fuego.</p>",N,,,,,,,4.49,0.00,,,,N,Y,4.49,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
over-jack-taco,10025,Over Jack Taco,Tacos,"<p>Taco individual. Crust de Monterrey Jack, Beef Barbacoa, Corn Pico De Gallo, aguacate y cilantro. Servido con Cilantro Ranch.</p>",N,,,,,,,4.49,0.00,,,,N,Y,4.49,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
party-packs,10044,Party Packs,Party Packs,"<p>Todos nuestros paquetes contienen Arroz, Frijoles, Guacamole, Queso Monterrey Jack, Pico de Gallo, Tortillas, Chips, Salsa, y Queso. Todas nuestras Beef Fajitas est&aacute;n cocinadas a termino 3/4 (medium well).</p>",N,,,,,,,variable,0.00,,,,N,Y,variable,,,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,Y,N,Y,N
queso,10049,Queso,Sides,<p>Hecho fresco todo los d&iacute;as</p>,N,,,,,,,variable,0.00,,,,N,Y,variable,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N
san-pellegrino,10059,San Pellegrino,Drinks,<p>Agua mineral</p>,N,,,,,,,2.99,0.00,,,,N,Y,2.99,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
shrimp-tampico-1,10019,Shrimp Tampico Bowl,Bowls,<p>Construye tu propio bowl. Selecciona entre nuestros ingredientes frescos todos los d&iacute;as. No olvides el Guac!</p>,N,,,,,,,9.99,0.00,,,,N,N,9.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
shrimp-tampico,10016,Shrimp Tampico Burrito,Burritos,<p>Construye tu propio burrito. Selecciona entre nuestros ingredientes frescos todos los d&iacute;as. No olvides el Guac!</p>,N,,,,,,,10.99,0.00,,,,N,N,10.99,,,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
shrimp-tampico-quesadilla,10032,Shrimp Tampico Quesadilla,Quesadillas,"<p>Quesadilla de camarones, queso Monterrey Jack, Pico de Gallo. Servido con Guac, Crema y nuestra nueva Salsa Tampico. Tienes que probarla.</p>",N,,,,,,,12.29,0.00,,,,N,N,12.29,,,N,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N
steak-tacos,10031,Steak Tacos,Tacos,"<p>3 Grilled Steak Fajitas Tacos preparados con salsa chipotle, salteados y guac. Servido con frijoles negros y arroz cilantro limon.</p>",N,,,,,,,8.99,0.00,,,,N,Y,8.99,,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N
strawberry-lemonade,10056,Strawberry Lemonade,Drinks,<p>Limonada con fresa</p>,N,,,,,,,2.99,0.00,,,,N,Y,2.99,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
tortilla-burrito,10050,Tortilla Burrito,Sides,<p>Tortilla de harina de trigo.&nbsp;</p>,N,,,,,,,0.69,0.00,,,,N,Y,0.69,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
vegetarian-1,10009,Vegetarian Bowl,Bowls,<p>Construye tu propio bowl Selecciona entre nuestros ingredientes frescos todos los d&iacute;as. Incluye Guac!</p>,N,,,,,,,7.99,0.00,,,,N,Y,7.99,,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N
vegetarian,10004,Vegetarian Burrito,Burritos,<p>Construye tu propio Burrito. Selecciona entre nuestros ingredientes frescos todos los d&iacute;as. Incluye Guac!</p>,N,,,,,,,7.99,0.00,,,,N,Y,7.99,,,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N
vegetarian-nachos,10024,Vegetarian Nachos,Nachos,<p>Construye tu propio nachos. Selecciona entre nuestros ingredientes frescos todos los dias. Incluye Guac!</p>,N,,,,,,,9.48,0.00,,,,N,Y,9.48,,,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N
vegetarian-quesadillas,10042,Vegetarian Quesadillas,Quesadillas,"<p>Tortilla de harina rellena con Queso Monterrey Jack derretido, frijoles negros, ma&iacute;z asado, y vegetales salteados. Servido con guacamole y crema &aacute;cida.</p>",N,,,,,,,7.99,0.00,,,,N,Y,7.99,,,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N
vegetarian-taco,10029,Vegetarian Taco,Tacos,"<p>Taco individual. Arroz cilantro limon, black beans, aguacate, cheddar jack, y corn-Pico De Gallo sobre una tortilla de harina. Servido con salsa cilantro ranch</p>",N,,,,,,,3.49,0.00,,,,N,Y,3.49,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
veggie-taco,10036,Veggie Taco,Tacos,<p>Taco individual. Construye tu propio Taco. Elige entre todos nuestros ingredientes y crea tu propio taco. Incluye Guac</p>,N,,,,,,,3.49,0.00,,,,N,Y,3.49,,,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,N
